tile1_coord,tile2_coord,match_count,inliers,mean_error,median_error,min_error,max_error
"(4.0,2.0)","(3.0,2.0)",28,28,0.116,0.059,0.005,1.017
"(4.0,2.0)","(4.0,3.0)",5,5,0.872,0.627,0.281,2.166
"(2.0,3.0)","(1.0,3.0)",22,22,0.939,0.207,0.107,13.19
"(2.0,3.0)","(2.0,4.0)",9,9,1.149,0.208,0.086,8.47
"(3.0,3.0)","(2.0,3.0)",17,17,3.008,0.211,0.062,25.645
"(3.0,3.0)","(3.0,4.0)",7,7,2.781,0.295,0.095,18.153
"(0.0,3.0)","(0.0,4.0)",31,31,0.422,0.07,0.007,8.879
"(2.0,0.0)","(1.0,0.0)",13,13,2.038,0.113,0.029,19.864
"(2.0,0.0)","(2.0,1.0)",14,14,0.375,0.218,0.042,1.144
"(3.0,0.0)","(2.0,0.0)",9,9,0.199,0.137,0.079,0.688
"(3.0,0.0)","(3.0,1.0)",20,20,0.599,0.129,0.018,8.002
"(0.0,1.0)","(0.0,2.0)",25,25,3.824,0.15,0.042,36.867
"(2.0,4.0)","(1.0,4.0)",27,27,1.385,0.161,0.031,32.031
"(1.0,4.0)","(0.0,4.0)",30,30,2.78,0.076,0.014,28.987
"(0.0,2.0)","(0.0,3.0)",15,15,3.955,0.42,0.032,26.611
"(2.0,2.0)","(1.0,2.0)",51,51,0.238,0.104,0.013,6.131
"(2.0,2.0)","(2.0,3.0)",35,35,1.747,0.085,0.006,57.157
"(4.0,4.0)","(3.0,4.0)",16,16,5.525,0.139,0.053,32.703
"(1.0,0.0)","(0.0,0.0)",14,14,1.634,0.484,0.068,11.532
"(1.0,0.0)","(1.0,1.0)",18,18,0.164,0.124,0.057,0.688
"(0.0,0.0)","(0.0,1.0)",15,15,0.515,0.312,0.179,2.313
"(4.0,3.0)","(3.0,3.0)",22,22,0.895,0.073,0.032,17.119
"(4.0,3.0)","(4.0,4.0)",12,12,1.782,0.595,0.076,14.748
"(3.0,1.0)","(2.0,1.0)",13,13,2.71,0.089,0.045,33.879
"(3.0,1.0)","(3.0,2.0)",26,26,0.175,0.096,0.015,0.778
"(1.0,3.0)","(0.0,3.0)",15,15,1.025,0.057,0.009,14.424
"(1.0,3.0)","(1.0,4.0)",16,16,0.198,0.156,0.077,0.665
"(3.0,4.0)","(2.0,4.0)",12,12,2.159,0.114,0.014,24.025
"(3.0,2.0)","(2.0,2.0)",10,10,4.318,0.435,0.184,36.711
"(3.0,2.0)","(3.0,3.0)",12,12,0.239,0.204,0.062,0.522
"(1.0,1.0)","(0.0,1.0)",19,19,0.521,0.318,0.211,2.254
"(1.0,1.0)","(1.0,2.0)",47,47,0.176,0.097,0.003,1.7
"(1.0,2.0)","(0.0,2.0)",15,15,0.171,0.112,0.029,0.903
"(1.0,2.0)","(1.0,3.0)",15,15,0.087,0.053,0.009,0.212
"(4.0,1.0)","(3.0,1.0)",26,26,2.739,0.086,0.025,59.656
"(4.0,1.0)","(4.0,2.0)",11,11,0.272,0.252,0.009,0.805
"(4.0,0.0)","(3.0,0.0)",29,29,1.061,0.209,0.012,19.129
"(4.0,0.0)","(4.0,1.0)",23,23,1.849,0.098,0.031,22.406
"(2.0,1.0)","(1.0,1.0)",23,23,0.305,0.176,0.023,2.708
"(2.0,1.0)","(2.0,2.0)",37,37,1.214,0.093,0.016,37.662
