tile1_coord,tile2_coord,match_count,inliers,mean_error,median_error,min_error,max_error
"(6.0,0.0)","(6.0,1.0)",31,31,70.058,60.575,1.028,199.223
"(1.0,5.0)","(0.0,5.0)",35,35,65.722,13.243,0.511,349.471
"(1.0,5.0)","(1.0,6.0)",39,39,39.326,22.723,0.222,101.091
"(8.0,1.0)","(7.0,1.0)",67,67,15.292,6.567,0.77,128.976
"(8.0,1.0)","(8.0,2.0)",41,41,21.812,15.96,0.711,86.293
"(8.0,5.0)","(7.0,5.0)",7,7,26.992,24.617,0.0,67.584
"(8.0,2.0)","(7.0,2.0)",21,21,51.459,55.704,0.642,190.534
"(8.0,2.0)","(8.0,3.0)",30,30,81.143,78.324,0.095,253.061
"(3.0,0.0)","(2.0,0.0)",42,42,67.328,74.531,0.256,152.604
"(3.0,0.0)","(3.0,1.0)",66,66,40.778,21.307,0.482,174.553
"(4.0,1.0)","(3.0,1.0)",7,7,103.258,0.65,0.024,319.924
"(4.0,1.0)","(4.0,2.0)",39,39,101.046,88.652,0.606,248.177
"(4.0,2.0)","(4.0,3.0)",18,18,46.704,51.264,0.936,88.083
"(3.0,6.0)","(2.0,6.0)",10,10,10.65,7.296,0.114,48.83
"(3.0,6.0)","(3.0,7.0)",30,30,65.648,61.123,0.584,190.524
"(1.0,7.0)","(0.0,7.0)",10,10,51.444,14.077,0.045,244.869
"(1.0,7.0)","(1.0,8.0)",57,57,12.466,8.681,0.03,69.658
"(4.0,6.0)","(3.0,6.0)",11,11,246.784,220.185,0.0,476.168
"(4.0,6.0)","(4.0,7.0)",42,42,44.614,11.919,0.353,265.311
"(8.0,0.0)","(7.0,0.0)",15,15,66.517,32.232,0.46,200.969
"(8.0,0.0)","(8.0,1.0)",71,71,23.991,13.37,0.419,145.142
"(4.0,5.0)","(3.0,5.0)",10,10,65.398,31.814,0.0,214.758
"(4.0,5.0)","(4.0,6.0)",35,35,65.59,65.752,0.318,153.876
"(5.0,7.0)","(4.0,7.0)",8,8,153.7,32.906,0.178,742.655
"(5.0,7.0)","(5.0,8.0)",35,35,44.551,33.721,0.471,117.346
"(6.0,6.0)","(5.0,6.0)",22,22,15.246,4.476,0.459,131.221
"(6.0,6.0)","(6.0,7.0)",94,94,8.431,3.55,0.164,109.845
"(9.0,5.0)","(8.0,5.0)",43,43,13.203,4.467,0.567,192.994
"(9.0,5.0)","(9.0,6.0)",80,80,5.074,2.345,0.232,61.582
"(1.0,6.0)","(0.0,6.0)",11,11,146.218,169.673,0.0,490.813
"(1.0,6.0)","(1.0,7.0)",65,65,85.054,41.374,0.951,196.415
"(6.0,1.0)","(5.0,1.0)",8,8,170.105,182.34,0.0,309.972
"(6.0,1.0)","(6.0,2.0)",119,119,14.378,9.401,0.654,76.381
"(7.0,2.0)","(6.0,2.0)",8,8,39.818,40.339,0.095,87.958
"(7.0,2.0)","(7.0,3.0)",20,20,235.657,97.333,0.01,743.617
"(6.0,3.0)","(5.0,3.0)",8,8,47.478,11.801,0.058,176.847
"(6.0,3.0)","(6.0,4.0)",112,112,6.282,2.741,0.244,51.959
"(0.0,3.0)","(0.0,4.0)",75,75,15.2,9.294,0.454,131.342
"(7.0,1.0)","(6.0,1.0)",9,9,197.387,133.33,0.0,706.396
"(7.0,1.0)","(7.0,2.0)",107,107,21.491,12.489,0.342,79.168
"(3.0,1.0)","(2.0,1.0)",35,35,66.218,29.128,0.495,352.068
"(3.0,1.0)","(3.0,2.0)",35,35,48.75,22.68,0.355,210.52
"(7.0,9.0)","(6.0,9.0)",190,190,4.33,3.163,0.307,25.568
"(9.0,3.0)","(8.0,3.0)",9,9,78.478,37.613,0.0,223.055
"(9.0,3.0)","(9.0,4.0)",47,47,26.551,11.595,0.25,169.751
"(9.0,7.0)","(8.0,7.0)",14,14,44.401,16.785,1.353,195.358
"(9.0,7.0)","(9.0,8.0)",101,101,6.018,3.723,0.404,36.289
"(3.0,9.0)","(2.0,9.0)",10,10,86.935,67.297,0.0,193.752
"(4.0,4.0)","(3.0,4.0)",9,9,60.967,21.395,0.231,222.547
"(4.0,4.0)","(4.0,5.0)",29,29,64.878,29.604,0.86,245.014
"(4.0,3.0)","(4.0,4.0)",74,74,49.914,56.68,0.288,147.041
"(5.0,3.0)","(4.0,3.0)",37,37,73.917,35.007,0.213,324.748
"(5.0,3.0)","(5.0,4.0)",40,40,71.338,66.764,1.096,247.988
"(7.0,5.0)","(7.0,6.0)",18,18,28.234,22.207,0.839,99.333
"(5.0,9.0)","(4.0,9.0)",55,55,20.213,7.298,0.609,137.453
"(2.0,9.0)","(1.0,9.0)",14,14,107.202,61.158,0.037,359.657
"(9.0,1.0)","(8.0,1.0)",10,10,260.264,314.012,0.0,483.571
"(9.0,1.0)","(9.0,2.0)",36,36,31.732,8.496,0.393,206.458
"(9.0,6.0)","(9.0,7.0)",93,93,5.383,2.9,0.435,82.667
"(1.0,3.0)","(0.0,3.0)",23,23,66.019,20.359,0.623,191.887
"(1.0,3.0)","(1.0,4.0)",79,79,10.852,7.928,0.331,46.512
"(9.0,4.0)","(8.0,4.0)",81,81,6.472,4.056,0.219,59.292
"(9.0,4.0)","(9.0,5.0)",106,106,10.815,5.301,0.1,97.37
"(5.0,0.0)","(4.0,0.0)",18,18,98.356,101.322,0.071,206.739
"(5.0,0.0)","(5.0,1.0)",20,20,195.789,144.888,0.586,710.226
"(7.0,4.0)","(6.0,4.0)",78,78,11.056,4.154,0.121,145.369
"(7.0,4.0)","(7.0,5.0)",9,9,59.023,60.997,0.481,135.408
"(9.0,2.0)","(8.0,2.0)",5,5,11.655,0.0,0.0,32.365
"(9.0,2.0)","(9.0,3.0)",24,24,75.178,64.987,0.074,231.94
"(3.0,2.0)","(3.0,3.0)",40,40,100.63,94.266,1.28,416.852
"(7.0,3.0)","(6.0,3.0)",16,16,14.456,6.097,1.007,86.087
"(7.0,3.0)","(7.0,4.0)",182,182,4.015,2.927,0.061,117.919
"(6.0,2.0)","(5.0,2.0)",20,20,122.534,96.567,0.0,324.745
"(6.0,2.0)","(6.0,3.0)",24,24,77.91,72.12,0.381,457.682
"(9.0,8.0)","(8.0,8.0)",95,95,7.113,2.349,0.195,193.78
"(9.0,8.0)","(9.0,9.0)",119,119,9.413,3.643,0.615,114.598
"(3.0,5.0)","(2.0,5.0)",8,8,110.058,99.091,0.0,282.379
"(3.0,5.0)","(3.0,6.0)",44,44,46.505,15.559,0.383,441.768
"(2.0,4.0)","(2.0,5.0)",28,28,74.589,38.778,0.624,364.113
"(2.0,1.0)","(1.0,1.0)",52,52,28.108,6.646,0.493,261.768
"(2.0,1.0)","(2.0,2.0)",90,90,27.374,14.483,0.365,119.246
"(8.0,3.0)","(7.0,3.0)",29,29,44.845,13.127,0.643,312.16
"(8.0,3.0)","(8.0,4.0)",130,130,11.578,4.19,0.22,134.378
"(1.0,4.0)","(0.0,4.0)",8,8,62.924,52.986,0.0,140.13
"(3.0,4.0)","(2.0,4.0)",6,6,379.23,419.116,0.0,722.085
"(3.0,4.0)","(3.0,5.0)",11,11,95.818,88.817,0.038,352.655
"(0.0,5.0)","(0.0,6.0)",86,86,17.373,8.013,0.543,185.07
"(5.0,8.0)","(4.0,8.0)",4,4,110.606,60.15,0.0,322.125
"(5.0,8.0)","(5.0,9.0)",41,41,69.742,42.261,0.616,585.698
"(5.0,1.0)","(5.0,2.0)",78,78,15.869,7.358,0.304,69.168
"(6.0,7.0)","(5.0,7.0)",8,8,70.86,45.538,0.0,271.464
"(6.0,7.0)","(6.0,8.0)",85,85,5.849,2.803,0.407,80.262
"(8.0,7.0)","(8.0,8.0)",14,14,46.424,24.554,0.71,174.011
"(1.0,9.0)","(0.0,9.0)",28,28,37.869,7.26,0.466,303.519
"(8.0,8.0)","(7.0,8.0)",7,7,39.451,13.395,0.419,196.538
"(8.0,8.0)","(8.0,9.0)",153,153,5.418,2.977,0.098,330.407
"(3.0,7.0)","(2.0,7.0)",7,7,70.065,81.969,0.015,183.506
"(3.0,7.0)","(3.0,8.0)",31,31,46.319,56.835,0.48,90.35
"(6.0,4.0)","(5.0,4.0)",59,59,8.596,6.633,0.377,52.972
"(6.0,4.0)","(6.0,5.0)",28,28,15.248,8.037,0.567,51.838
"(4.0,8.0)","(4.0,9.0)",7,7,51.823,38.006,0.0,161.669
"(0.0,4.0)","(0.0,5.0)",35,35,58.039,52.583,0.93,226.899
"(8.0,4.0)","(7.0,4.0)",36,36,19.441,7.409,0.644,123.575
"(8.0,4.0)","(8.0,5.0)",106,106,5.214,2.965,0.14,96.357
"(2.0,3.0)","(1.0,3.0)",33,33,49.181,11.579,0.445,365.912
"(2.0,3.0)","(2.0,4.0)",39,39,23.99,9.014,1.092,110.072
"(0.0,1.0)","(0.0,2.0)",29,29,28.152,20.788,0.344,91.039
"(1.0,8.0)","(0.0,8.0)",64,64,8.076,5.67,0.32,60.035
"(1.0,8.0)","(1.0,9.0)",21,21,198.257,162.555,0.292,474.054
"(3.0,8.0)","(2.0,8.0)",54,54,8.11,4.916,0.744,50.267
"(3.0,8.0)","(3.0,9.0)",47,47,17.766,8.058,0.379,175.862
"(6.0,8.0)","(5.0,8.0)",46,46,32.91,11.745,0.225,342.832
"(6.0,8.0)","(6.0,9.0)",177,177,2.747,2.314,0.248,13.425
"(2.0,5.0)","(2.0,6.0)",15,15,48.943,46.003,0.111,110.158
"(2.0,2.0)","(2.0,3.0)",26,26,106.26,97.478,0.015,300.083
"(7.0,8.0)","(6.0,8.0)",191,191,4.15,3.153,0.334,48.241
"(7.0,8.0)","(7.0,9.0)",132,132,3.562,2.44,0.119,69.97
"(8.0,9.0)","(7.0,9.0)",141,141,7.042,2.928,0.091,130.177
"(1.0,0.0)","(0.0,0.0)",8,8,65.399,74.267,0.0,148.188
"(1.0,0.0)","(1.0,1.0)",21,21,77.907,92.328,0.916,164.381
"(4.0,9.0)","(3.0,9.0)",86,86,7.579,7.75,0.492,22.305
"(5.0,2.0)","(4.0,2.0)",7,7,66.775,42.061,0.083,184.837
"(5.0,2.0)","(5.0,3.0)",37,37,68.318,71.551,0.255,157.031
"(7.0,0.0)","(7.0,1.0)",25,25,102.635,73.356,0.467,320.149
"(6.0,5.0)","(5.0,5.0)",7,7,16.18,14.158,0.472,43.689
"(6.0,5.0)","(6.0,6.0)",83,83,8.699,4.942,0.359,82.942
"(4.0,0.0)","(3.0,0.0)",64,64,11.018,8.446,0.063,41.918
"(4.0,0.0)","(4.0,1.0)",40,40,56.735,31.244,0.709,223.966
"(2.0,8.0)","(1.0,8.0)",16,16,69.098,40.248,0.024,203.134
"(2.0,8.0)","(2.0,9.0)",85,85,18.211,7.364,0.592,140.214
"(0.0,7.0)","(0.0,8.0)",41,41,44.375,38.409,0.522,109.783
"(4.0,7.0)","(3.0,7.0)",21,21,113.87,79.514,0.244,348.53
"(4.0,7.0)","(4.0,8.0)",26,26,67.712,19.426,0.215,248.272
"(5.0,6.0)","(4.0,6.0)",9,9,30.058,3.506,1.301,155.599
"(5.0,6.0)","(5.0,7.0)",124,124,3.755,2.544,0.166,27.395
"(1.0,1.0)","(0.0,1.0)",20,20,66.875,38.242,0.677,326.357
"(1.0,1.0)","(1.0,2.0)",22,22,58.812,45.22,0.0,307.703
"(0.0,2.0)","(0.0,3.0)",133,133,8.717,6.768,0.141,36.821
"(9.0,9.0)","(8.0,9.0)",159,159,5.244,3.648,0.332,39.377
"(2.0,0.0)","(1.0,0.0)",7,7,148.421,144.392,0.648,343.167
"(2.0,0.0)","(2.0,1.0)",44,44,39.452,25.41,0.42,112.687
"(3.0,3.0)","(3.0,4.0)",29,29,155.113,62.007,1.082,848.109
"(2.0,7.0)","(1.0,7.0)",12,12,131.232,141.503,0.235,318.398
"(2.0,7.0)","(2.0,8.0)",10,10,141.242,133.056,0.0,446.248
"(5.0,4.0)","(4.0,4.0)",34,34,65.285,49.251,0.137,234.946
"(5.0,4.0)","(5.0,5.0)",86,86,16.241,10.99,0.456,121.149
"(0.0,8.0)","(0.0,9.0)",101,101,16.877,12.454,0.59,74.717
"(0.0,0.0)","(0.0,1.0)",90,90,14.303,9.695,0.306,61.607
"(9.0,0.0)","(8.0,0.0)",60,60,9.466,7.947,0.687,46.032
"(9.0,0.0)","(9.0,1.0)",21,21,34.477,36.981,0.274,89.763
"(5.0,5.0)","(5.0,6.0)",111,111,4.631,2.871,0.293,34.171
"(0.0,6.0)","(0.0,7.0)",19,19,232.298,119.258,0.0,793.009
"(7.0,7.0)","(7.0,8.0)",12,12,44.972,21.103,0.0,272.687
"(1.0,2.0)","(0.0,2.0)",67,67,10.08,6.776,0.346,32.787
"(1.0,2.0)","(1.0,3.0)",26,26,53.416,22.414,0.492,195.005
"(2.0,6.0)","(1.0,6.0)",7,7,217.25,236.026,0.0,505.64
"(2.0,6.0)","(2.0,7.0)",56,56,32.418,10.866,0.517,154.077
"(7.0,6.0)","(6.0,6.0)",4,4,93.696,80.823,0.0,213.138
