tile1_coord,tile2_coord,match_count,inliers,mean_error,median_error,min_error,max_error
"(0.0,0.0)","(0.0,1.0)",1425,1425,0.035,0.005,0.0,0.977
"(1.0,0.0)","(0.0,0.0)",1389,1389,0.03,0.004,0.002,1.333
"(1.0,0.0)","(1.0,1.0)",1289,1289,0.049,0.008,0.001,1.065
"(2.0,0.0)","(1.0,0.0)",1182,1182,0.062,0.082,0.006,0.996
"(2.0,0.0)","(2.0,1.0)",1304,1304,0.058,0.014,0.005,2.291
"(3.0,0.0)","(2.0,0.0)",989,989,0.416,0.399,0.003,1.834
"(3.0,0.0)","(3.0,1.0)",1423,1423,0.045,0.009,0.0,6.036
"(4.0,0.0)","(3.0,0.0)",1393,1393,0.032,0.005,0.0,1.081
"(4.0,0.0)","(4.0,1.0)",1413,1413,0.038,0.003,0.0,2.04
"(0.0,1.0)","(0.0,2.0)",1459,1459,0.05,0.009,0.0,3.909
"(1.0,1.0)","(0.0,1.0)",1265,1265,0.041,0.005,0.001,1.346
"(1.0,1.0)","(1.0,2.0)",1492,1492,0.035,0.004,0.003,2.227
"(2.0,1.0)","(1.0,1.0)",1350,1350,0.086,0.034,0.007,8.124
"(2.0,1.0)","(2.0,2.0)",1407,1407,0.046,0.011,0.006,2.075
"(3.0,1.0)","(2.0,1.0)",1042,1042,0.323,0.219,0.029,1.975
"(3.0,1.0)","(3.0,2.0)",1415,1415,0.069,0.031,0.0,2.256
"(4.0,1.0)","(3.0,1.0)",1347,1347,0.048,0.007,0.001,4.427
"(4.0,1.0)","(4.0,2.0)",1250,1250,0.05,0.004,0.004,1.07
"(0.0,2.0)","(0.0,3.0)",1313,1313,0.042,0.004,0.0,1.38
"(1.0,2.0)","(0.0,2.0)",1188,1188,0.044,0.003,0.0,1.082
"(1.0,2.0)","(1.0,3.0)",1330,1330,0.049,0.016,0.0,2.222
"(2.0,2.0)","(1.0,2.0)",1373,1373,0.045,0.013,0.007,0.729
"(2.0,2.0)","(2.0,3.0)",1259,1259,0.047,0.017,0.005,1.985
"(3.0,2.0)","(2.0,2.0)",1020,1020,0.2,0.094,0.003,2.116
"(3.0,2.0)","(3.0,3.0)",1269,1269,0.055,0.005,0.0,5.512
"(4.0,2.0)","(3.0,2.0)",1375,1375,0.03,0.001,0.0,0.9
"(4.0,2.0)","(4.0,3.0)",1159,1159,0.068,0.022,0.0,1.45
"(0.0,3.0)","(0.0,4.0)",1397,1397,0.03,0.003,0.001,1.065
"(1.0,3.0)","(0.0,3.0)",1316,1316,0.037,0.011,0.0,2.201
"(1.0,3.0)","(1.0,4.0)",1317,1317,0.061,0.008,0.007,7.837
"(2.0,3.0)","(1.0,3.0)",1334,1334,0.065,0.03,0.006,4.049
"(2.0,3.0)","(2.0,4.0)",726,726,0.058,0.019,0.007,0.992
"(3.0,3.0)","(2.0,3.0)",1180,1180,0.204,0.112,0.004,1.806
"(3.0,3.0)","(3.0,4.0)",1303,1303,0.046,0.008,0.0,1.373
"(4.0,3.0)","(3.0,3.0)",1416,1416,0.043,0.011,0.004,4.99
"(4.0,3.0)","(4.0,4.0)",1438,1438,0.038,0.005,0.0,1.448
"(1.0,4.0)","(0.0,4.0)",1355,1355,0.034,0.005,0.0,1.527
"(2.0,4.0)","(1.0,4.0)",1352,1352,0.066,0.017,0.008,6.455
"(3.0,4.0)","(2.0,4.0)",1061,1061,0.468,0.243,0.014,7.165
"(4.0,4.0)","(3.0,4.0)",1376,1376,0.037,0.011,0.002,1.514
