tile1_coord,tile2_coord,overlap_pixels,overlap_width,overlap_height,psnr,ssim,rmse,ncc
"(4.0,2.0)","(3.0,2.0)",2576,29,92,22.507,0.958,19.107,0.9161
"(4.0,2.0)","(4.0,3.0)",2545,92,29,20.588,0.9006,23.83,0.9034
"(2.0,3.0)","(1.0,3.0)",2646,30,93,24.001,0.9543,16.088,0.9221
"(2.0,3.0)","(2.0,4.0)",2742,93,30,23.629,0.9419,16.791,0.8345
"(3.0,3.0)","(2.0,3.0)",2701,30,93,21.562,0.9197,21.302,0.8647
"(3.0,3.0)","(3.0,4.0)",2639,92,29,27.222,0.9702,11.103,0.9384
"(0.0,3.0)","(0.0,4.0)",2668,92,29,23.429,0.9707,17.183,0.9543
"(2.0,0.0)","(1.0,0.0)",2668,29,92,25.493,0.9626,13.549,0.943
"(2.0,0.0)","(2.0,1.0)",2691,93,29,21.805,0.9457,20.716,0.8615
"(3.0,0.0)","(2.0,0.0)",2688,29,93,23.441,0.9379,17.158,0.9385
"(3.0,0.0)","(3.0,1.0)",2630,91,29,23.098,0.9562,17.851,0.9216
"(0.0,1.0)","(0.0,2.0)",2635,91,30,24.963,0.9714,14.401,0.8973
"(2.0,4.0)","(1.0,4.0)",2695,29,93,23.966,0.96,16.152,0.9396
"(1.0,4.0)","(0.0,4.0)",2697,29,93,20.931,0.7683,22.908,0.7673
"(0.0,2.0)","(0.0,3.0)",2658,92,29,26.225,0.9415,12.454,0.9456
"(2.0,2.0)","(1.0,2.0)",2576,28,92,37.363,0.9917,3.454,0.996
"(2.0,2.0)","(2.0,3.0)",2630,92,29,24.559,0.972,15.087,0.8458
"(4.0,4.0)","(3.0,4.0)",2604,28,93,22.41,0.9587,19.321,0.9471
"(1.0,0.0)","(0.0,0.0)",2623,29,92,20.267,0.94,24.729,0.9188
"(1.0,0.0)","(1.0,1.0)",2548,91,28,28.862,0.9504,9.192,0.9522
"(0.0,0.0)","(0.0,1.0)",2637,92,30,22.073,0.9446,20.085,0.9131
"(4.0,3.0)","(3.0,3.0)",2528,29,91,17.095,0.4433,35.629,0.43
"(4.0,3.0)","(4.0,4.0)",2807,92,31,17.167,0.5632,35.334,0.7822
"(3.0,1.0)","(2.0,1.0)",2636,29,93,25.777,0.9131,13.113,0.9241
"(3.0,1.0)","(3.0,2.0)",2662,91,30,20.139,0.9248,25.094,0.8348
"(1.0,3.0)","(0.0,3.0)",2655,29,93,22.873,0.9024,18.319,0.8123
"(1.0,3.0)","(1.0,4.0)",2694,92,30,24.58,0.9317,15.05,0.9194
"(3.0,4.0)","(2.0,4.0)",2580,29,92,24.22,0.9033,15.687,0.925
"(3.0,2.0)","(2.0,2.0)",2586,29,92,23.261,0.8563,17.518,0.8643
"(3.0,2.0)","(3.0,3.0)",2632,92,29,22.822,0.9298,18.427,0.8332
"(1.0,1.0)","(0.0,1.0)",2574,28,92,30.163,0.9647,7.914,0.905
"(1.0,1.0)","(1.0,2.0)",2548,91,28,39.196,0.99,2.797,0.9976
"(1.0,2.0)","(0.0,2.0)",2516,28,92,24.28,0.9614,15.579,0.8937
"(1.0,2.0)","(1.0,3.0)",2616,92,29,27.203,0.9457,11.128,0.8989
"(4.0,1.0)","(3.0,1.0)",2596,28,93,22.395,0.9349,19.354,0.8946
"(4.0,1.0)","(4.0,2.0)",2584,92,29,26.445,0.9791,12.142,0.9791
"(4.0,0.0)","(3.0,0.0)",2575,29,93,19.931,0.9457,25.705,0.9076
"(4.0,0.0)","(4.0,1.0)",2678,92,30,22.131,0.8962,19.952,0.9407
"(2.0,1.0)","(1.0,1.0)",2576,28,92,33.677,0.9803,5.281,0.9863
"(2.0,1.0)","(2.0,2.0)",2638,92,29,20.801,0.9429,23.253,0.8869
