tile1_coord,tile2_coord,overlap_pixels,overlap_width,overlap_height,psnr,ssim,rmse,ncc
"(0.0,0.0)","(0.0,1.0)",2723,92,30,20.83,0.9326,23.176,0.8973
"(1.0,0.0)","(0.0,0.0)",2520,28,92,20.372,0.7785,24.431,0.9062
"(1.0,0.0)","(1.0,1.0)",2627,91,29,22.702,0.9446,18.682,0.9021
"(2.0,0.0)","(1.0,0.0)",2633,29,93,21.537,0.9014,21.364,0.8582
"(2.0,0.0)","(2.0,1.0)",2653,93,30,24.41,0.9143,15.348,0.8789
"(3.0,0.0)","(2.0,0.0)",2668,30,92,21.331,0.8948,21.877,0.8953
"(3.0,0.0)","(3.0,1.0)",2675,91,30,21.076,0.8152,22.53,0.8331
"(4.0,0.0)","(3.0,0.0)",2554,29,92,20.845,0.9555,23.135,0.927
"(4.0,0.0)","(4.0,1.0)",2735,91,31,16.137,0.5131,39.783,0.7379
"(0.0,1.0)","(0.0,2.0)",2739,92,30,21.009,0.949,22.703,0.822
"(1.0,1.0)","(0.0,1.0)",2576,28,92,31.265,0.9675,6.971,0.8953
"(1.0,1.0)","(1.0,2.0)",2548,91,28,37.278,0.9889,3.488,0.9959
"(2.0,1.0)","(1.0,1.0)",2576,28,92,32.74,0.9725,5.882,0.9829
"(2.0,1.0)","(2.0,2.0)",2628,92,29,21.416,0.9489,21.663,0.9123
"(3.0,1.0)","(2.0,1.0)",2693,30,93,22.004,0.892,20.245,0.8437
"(3.0,1.0)","(3.0,2.0)",2673,91,30,23.146,0.9079,17.753,0.8653
"(4.0,1.0)","(3.0,1.0)",2624,29,93,23.396,0.9573,17.248,0.8987
"(4.0,1.0)","(4.0,2.0)",2683,93,29,29.03,0.9623,9.017,0.9876
"(0.0,2.0)","(0.0,3.0)",2659,91,30,25.187,0.9076,14.034,0.9083
"(1.0,2.0)","(0.0,2.0)",2512,28,92,26.502,0.9768,12.062,0.9434
"(1.0,2.0)","(1.0,3.0)",2548,91,28,33.273,0.9723,5.532,0.9869
"(2.0,2.0)","(1.0,2.0)",2576,28,92,37.427,0.9918,3.429,0.9961
"(2.0,2.0)","(2.0,3.0)",2668,92,29,28.72,0.9618,9.344,0.7485
"(3.0,2.0)","(2.0,2.0)",2637,29,92,20.559,0.8461,23.91,0.8448
"(3.0,2.0)","(3.0,3.0)",2678,92,30,20.772,0.9433,23.33,0.8371
"(4.0,2.0)","(3.0,2.0)",2645,29,93,21.302,0.9584,21.951,0.8675
"(4.0,2.0)","(4.0,3.0)",2724,92,30,21.176,0.9192,22.272,0.9324
"(0.0,3.0)","(0.0,4.0)",2662,93,31,22.227,0.9699,19.733,0.9347
"(1.0,3.0)","(0.0,3.0)",2640,30,91,17.154,0.5474,35.387,0.4432
"(1.0,3.0)","(1.0,4.0)",2639,91,29,22.35,0.9382,19.456,0.9181
"(2.0,3.0)","(1.0,3.0)",2597,29,92,25.952,0.9683,12.851,0.9595
"(2.0,3.0)","(2.0,4.0)",2633,93,29,30.171,0.9746,7.907,0.9334
"(3.0,3.0)","(2.0,3.0)",2780,30,93,20.236,0.889,24.815,0.822
"(3.0,3.0)","(3.0,4.0)",2760,92,30,22.846,0.8591,18.376,0.8404
"(4.0,3.0)","(3.0,3.0)",2746,31,93,20.443,0.7011,24.233,0.7523
"(4.0,3.0)","(4.0,4.0)",2733,93,30,22.429,0.9643,19.279,0.9366
"(1.0,4.0)","(0.0,4.0)",2714,31,91,16.994,0.3064,36.045,0.3774
"(2.0,4.0)","(1.0,4.0)",2697,29,93,24.71,0.9526,14.827,0.947
"(3.0,4.0)","(2.0,4.0)",2717,30,93,27.261,0.9348,11.054,0.957
"(4.0,4.0)","(3.0,4.0)",2764,31,93,23.489,0.8587,17.064,0.9544
