tile1_coord,tile2_coord,overlap_pixels,overlap_width,overlap_height,psnr,ssim,rmse,ncc
"(0.0,0.0)","(0.0,1.0)",2639,91,29,21.066,0.9543,22.555,0.9437
"(1.0,0.0)","(0.0,0.0)",2569,28,93,19.497,0.962,27.02,0.9166
"(1.0,0.0)","(1.0,1.0)",2625,91,29,21.943,0.9479,20.389,0.9005
"(2.0,0.0)","(1.0,0.0)",2668,29,92,20.322,0.9596,24.571,0.8949
"(2.0,0.0)","(2.0,1.0)",2726,94,29,29.195,0.9808,8.847,0.9247
"(3.0,0.0)","(2.0,0.0)",2689,29,93,23.382,0.9172,17.276,0.9146
"(3.0,0.0)","(3.0,1.0)",2665,92,30,23.76,0.9695,16.54,0.9344
"(4.0,0.0)","(3.0,0.0)",2604,28,93,22.488,0.9587,19.149,0.9462
"(4.0,0.0)","(4.0,1.0)",2668,92,29,26.176,0.9571,12.524,0.9807
"(0.0,1.0)","(0.0,2.0)",2639,91,29,20.815,0.9441,23.216,0.8975
"(1.0,1.0)","(0.0,1.0)",2511,27,93,43.566,0.9945,1.691,0.9991
"(1.0,1.0)","(1.0,2.0)",2639,91,29,18.791,0.9371,29.309,0.8438
"(2.0,1.0)","(1.0,1.0)",2698,30,93,19.853,0.9453,25.935,0.8198
"(2.0,1.0)","(2.0,2.0)",2646,92,29,19.544,0.9394,26.874,0.8554
"(3.0,1.0)","(2.0,1.0)",2686,29,94,26.392,0.8845,12.216,0.8559
"(3.0,1.0)","(3.0,2.0)",2650,92,30,22.253,0.9582,19.673,0.9104
"(4.0,1.0)","(3.0,1.0)",2604,28,93,29.651,0.9803,8.394,0.9409
"(4.0,1.0)","(4.0,2.0)",2668,92,29,22.738,0.9637,18.606,0.9612
"(0.0,2.0)","(0.0,3.0)",2631,92,30,23.496,0.9746,17.051,0.9112
"(1.0,2.0)","(0.0,2.0)",2576,28,92,31.927,0.9714,6.459,0.8495
"(1.0,2.0)","(1.0,3.0)",2669,92,30,22.151,0.9649,19.905,0.8132
"(2.0,2.0)","(1.0,2.0)",2606,29,92,23.329,0.9856,17.383,0.9427
"(2.0,2.0)","(2.0,3.0)",2642,92,29,25.129,0.9687,14.128,0.7871
"(3.0,2.0)","(2.0,2.0)",2576,28,92,32.341,0.8852,6.159,0.9788
"(3.0,2.0)","(3.0,3.0)",2664,92,30,21.183,0.9499,22.253,0.8725
"(4.0,2.0)","(3.0,2.0)",2604,28,93,24.754,0.9765,14.751,0.8786
"(4.0,2.0)","(4.0,3.0)",2662,92,29,22.346,0.9612,19.465,0.9516
"(0.0,3.0)","(0.0,4.0)",2668,92,29,23.453,0.9766,17.135,0.9321
"(1.0,3.0)","(0.0,3.0)",2633,29,93,22.642,0.9487,18.812,0.7998
"(1.0,3.0)","(1.0,4.0)",2668,92,29,21.576,0.9332,21.269,0.911
"(2.0,3.0)","(1.0,3.0)",2784,30,94,18.366,0.9313,30.779,0.7346
"(2.0,3.0)","(2.0,4.0)",2717,93,30,24.012,0.9546,16.068,0.8827
"(3.0,3.0)","(2.0,3.0)",2690,30,94,20.923,0.914,22.93,0.8719
"(3.0,3.0)","(3.0,4.0)",2670,92,30,22.292,0.9471,19.586,0.8764
"(4.0,3.0)","(3.0,3.0)",2634,29,93,22.65,0.9675,18.796,0.9221
"(4.0,3.0)","(4.0,4.0)",2668,92,29,21.181,0.9587,22.257,0.9285
"(1.0,4.0)","(0.0,4.0)",2576,28,92,25.456,0.9733,13.606,0.8708
"(2.0,4.0)","(1.0,4.0)",2760,30,92,20.213,0.9445,24.883,0.8492
"(3.0,4.0)","(2.0,4.0)",2697,29,93,23.217,0.9314,17.607,0.9374
"(4.0,4.0)","(3.0,4.0)",2604,28,93,22.605,0.9642,18.893,0.96
