tile1_coord,tile2_coord,match_count,inliers,mean_error,median_error,min_error,max_error
"(4.0,2.0)","(3.0,2.0)",224,224,2.897,0.129,0.005,272.835
"(4.0,2.0)","(4.0,3.0)",200,200,4.594,0.159,0.009,446.667
"(2.0,3.0)","(1.0,3.0)",208,208,3.618,0.178,0.021,267.621
"(2.0,3.0)","(2.0,4.0)",199,199,2.833,0.173,0.019,262.247
"(0.0,4.0)","(0.0,5.0)",213,213,2.672,0.149,0.013,331.62
"(3.0,3.0)","(2.0,3.0)",218,218,3.371,0.16,0.002,328.147
"(3.0,3.0)","(3.0,4.0)",184,184,3.703,0.221,0.02,227.406
"(2.0,5.0)","(1.0,5.0)",243,243,0.295,0.13,0.007,11.72
"(2.0,5.0)","(2.0,6.0)",268,268,2.776,0.147,0.008,348.687
"(3.0,5.0)","(2.0,5.0)",266,266,2.429,0.153,0.005,235.881
"(3.0,5.0)","(3.0,6.0)",301,301,2.2,0.155,0.008,289.516
"(5.0,6.0)","(4.0,6.0)",169,169,0.433,0.163,0.011,23.193
"(0.0,3.0)","(0.0,4.0)",239,239,0.232,0.143,0.01,2.215
"(5.0,5.0)","(4.0,5.0)",264,264,1.305,0.139,0.005,201.415
"(5.0,5.0)","(5.0,6.0)",267,267,2.315,0.122,0.001,274.086
"(5.0,1.0)","(4.0,1.0)",263,263,0.882,0.152,0.003,161.956
"(5.0,1.0)","(5.0,2.0)",283,283,0.947,0.136,0.003,157.983
"(2.0,0.0)","(1.0,0.0)",279,279,5.018,0.151,0.007,288.548
"(2.0,0.0)","(2.0,1.0)",216,216,1.11,0.181,0.005,176.114
"(6.0,4.0)","(5.0,4.0)",244,244,0.234,0.122,0.008,3.258
"(6.0,4.0)","(6.0,5.0)",172,172,3.353,0.232,0.003,164.388
"(0.0,5.0)","(0.0,6.0)",250,250,1.724,0.174,0.009,204.584
"(6.0,3.0)","(5.0,3.0)",236,236,1.42,0.139,0.015,196.007
"(6.0,3.0)","(6.0,4.0)",253,253,0.549,0.167,0.008,71.667
"(6.0,1.0)","(5.0,1.0)",284,284,0.762,0.136,0.009,110.085
"(6.0,1.0)","(6.0,2.0)",292,292,2.093,0.137,0.003,170.509
"(3.0,0.0)","(2.0,0.0)",240,240,5.386,0.208,0.014,302.137
"(3.0,0.0)","(3.0,1.0)",279,279,2.148,0.142,0.011,420.057
"(0.0,1.0)","(0.0,2.0)",242,242,1.852,0.162,0.007,142.216
"(2.0,6.0)","(1.0,6.0)",180,180,1.39,0.156,0.007,100.94
"(2.0,4.0)","(1.0,4.0)",214,214,0.282,0.157,0.004,5.871
"(2.0,4.0)","(2.0,5.0)",197,197,3.342,0.168,0.019,213.474
"(1.0,4.0)","(0.0,4.0)",229,229,1.62,0.197,0.01,138.893
"(1.0,4.0)","(1.0,5.0)",236,236,1.033,0.144,0.012,184.585
"(5.0,4.0)","(4.0,4.0)",286,286,1.333,0.153,0.012,234.239
"(5.0,4.0)","(5.0,5.0)",222,222,0.272,0.153,0.008,2.52
"(5.0,3.0)","(4.0,3.0)",305,305,1.371,0.157,0.004,342.142
"(5.0,3.0)","(5.0,4.0)",262,262,1.779,0.168,0.005,298.34
"(0.0,2.0)","(0.0,3.0)",276,276,2.412,0.133,0.005,272.253
"(6.0,5.0)","(5.0,5.0)",270,270,1.155,0.113,0.011,260.119
"(6.0,5.0)","(6.0,6.0)",239,239,2.972,0.14,0.005,331.698
