tile1_coord,tile2_coord,match_count,inliers,mean_error,median_error,min_error,max_error
"(0.0,0.0)","(0.0,1.0)",1106,1106,0.759,0.643,0.014,3.565
"(1.0,0.0)","(0.0,0.0)",1371,1371,0.662,0.571,0.004,2.296
"(1.0,0.0)","(1.0,1.0)",817,817,0.673,0.493,0.008,3.156
"(2.0,0.0)","(1.0,0.0)",1151,1151,0.728,0.623,0.006,3.043
"(2.0,0.0)","(2.0,1.0)",957,957,0.767,0.66,0.014,2.85
"(3.0,0.0)","(2.0,0.0)",1214,1214,0.772,0.684,0.014,2.898
"(3.0,0.0)","(3.0,1.0)",734,734,0.677,0.478,0.009,3.542
"(4.0,0.0)","(3.0,0.0)",1012,1012,0.813,0.714,0.004,2.823
"(4.0,0.0)","(4.0,1.0)",724,724,0.609,0.408,0.005,2.473
"(5.0,0.0)","(4.0,0.0)",1035,1035,0.758,0.66,0.001,3.09
"(5.0,0.0)","(5.0,1.0)",703,703,0.673,0.498,0.002,2.822
"(6.0,0.0)","(5.0,0.0)",1023,1023,0.705,0.56,0.006,2.923
"(6.0,0.0)","(6.0,1.0)",840,840,0.681,0.518,0.009,3.021
"(0.0,1.0)","(0.0,2.0)",1055,1055,0.822,0.704,0.008,4.62
"(1.0,1.0)","(0.0,1.0)",1280,1280,0.713,0.607,0.005,3.206
"(1.0,1.0)","(1.0,2.0)",981,981,0.715,0.557,0.01,2.827
"(2.0,1.0)","(1.0,1.0)",1011,1011,0.688,0.513,0.01,3.03
"(2.0,1.0)","(2.0,2.0)",806,806,0.787,0.613,0.015,3.04
"(3.0,1.0)","(2.0,1.0)",965,965,0.729,0.588,0.015,3.125
"(3.0,1.0)","(3.0,2.0)",854,854,0.8,0.658,0.002,2.694
"(4.0,1.0)","(3.0,1.0)",865,865,0.728,0.589,0.015,2.966
"(4.0,1.0)","(4.0,2.0)",668,668,0.689,0.496,0.008,2.772
"(5.0,1.0)","(4.0,1.0)",896,896,0.719,0.623,0.014,2.789
"(5.0,1.0)","(5.0,2.0)",740,740,0.676,0.491,0.007,2.858
"(6.0,1.0)","(5.0,1.0)",934,934,0.717,0.523,0.014,3.003
"(6.0,1.0)","(6.0,2.0)",743,743,0.669,0.508,0.008,2.708
"(0.0,2.0)","(0.0,3.0)",961,961,0.706,0.544,0.006,3.061
"(1.0,2.0)","(0.0,2.0)",1444,1444,0.794,0.728,0.005,2.896
"(1.0,2.0)","(1.0,3.0)",856,856,0.756,0.646,0.006,2.972
"(2.0,2.0)","(1.0,2.0)",965,965,0.8,0.675,0.008,3.251
"(2.0,2.0)","(2.0,3.0)",774,774,0.787,0.62,0.009,3.154
"(3.0,2.0)","(2.0,2.0)",989,989,0.754,0.651,0.018,2.846
"(3.0,2.0)","(3.0,3.0)",711,711,0.732,0.579,0.015,3.24
"(4.0,2.0)","(3.0,2.0)",868,868,0.762,0.585,0.006,3.403
"(4.0,2.0)","(4.0,3.0)",1050,1050,0.805,0.726,0.007,2.312
"(5.0,2.0)","(4.0,2.0)",883,883,0.684,0.54,0.006,2.656
"(5.0,2.0)","(5.0,3.0)",745,745,0.683,0.532,0.001,2.371
"(6.0,2.0)","(5.0,2.0)",1020,1020,0.736,0.641,0.013,2.699
