tile1_coord,tile2_coord,overlap_pixels,overlap_width,overlap_height,psnr,ssim,rmse,ncc
"(4.0,2.0)","(3.0,2.0)",52029,141,369,34.36,0.9748,4.881,0.9975
"(4.0,2.0)","(4.0,3.0)",52281,471,111,34.413,0.9605,4.852,0.996
"(2.0,3.0)","(1.0,3.0)",52591,142,371,24.856,0.9625,14.579,0.9359
"(2.0,3.0)","(2.0,4.0)",53235,472,113,22.295,0.9636,19.579,0.8874
"(0.0,4.0)","(0.0,5.0)",52864,472,112,25.426,0.9711,13.653,0.94
"(3.0,3.0)","(2.0,3.0)",52170,141,370,34.621,0.9774,4.737,0.9979
"(3.0,3.0)","(3.0,4.0)",52170,470,111,34.59,0.9681,4.754,0.9976
"(2.0,5.0)","(1.0,5.0)",52540,142,370,25.495,0.9654,13.545,0.952
"(2.0,5.0)","(2.0,6.0)",52766,472,112,26.777,0.9725,11.686,0.9507
"(3.0,5.0)","(2.0,5.0)",52540,142,370,25.584,0.9701,13.408,0.9527
"(3.0,5.0)","(3.0,6.0)",52667,471,112,24.973,0.9707,14.384,0.9425
"(5.0,6.0)","(4.0,6.0)",52398,142,369,26.949,0.9675,11.458,0.9577
"(0.0,3.0)","(0.0,4.0)",52864,472,112,25.723,0.9667,13.195,0.9457
"(5.0,5.0)","(4.0,5.0)",52682,142,371,25.926,0.9746,12.89,0.9544
"(5.0,5.0)","(5.0,6.0)",52752,471,112,24.968,0.9752,14.392,0.9515
"(5.0,1.0)","(4.0,1.0)",52802,143,371,25.302,0.971,13.85,0.9337
"(5.0,1.0)","(5.0,2.0)",52340,470,112,26.511,0.9691,12.05,0.9598
"(2.0,0.0)","(1.0,0.0)",52398,142,369,24.485,0.9596,15.216,0.9316
"(2.0,0.0)","(2.0,1.0)",52864,472,112,24.047,0.9616,16.003,0.9298
"(6.0,4.0)","(5.0,4.0)",52540,142,370,26.764,0.9745,11.705,0.959
"(6.0,4.0)","(6.0,5.0)",52864,472,112,26.432,0.9636,12.16,0.9425
"(0.0,5.0)","(0.0,6.0)",52864,472,112,26.21,0.9721,12.475,0.956
"(6.0,3.0)","(5.0,3.0)",52715,143,371,24.542,0.9711,15.116,0.9329
"(6.0,3.0)","(6.0,4.0)",52864,472,112,24.591,0.9632,15.031,0.936
"(6.0,1.0)","(5.0,1.0)",52682,142,371,26.889,0.9747,11.537,0.9586
"(6.0,1.0)","(6.0,2.0)",52502,471,112,24.401,0.9362,15.363,0.9395
"(3.0,0.0)","(2.0,0.0)",52029,141,369,33.652,0.9674,5.296,0.997
"(3.0,0.0)","(3.0,1.0)",52439,470,112,26.966,0.9735,11.434,0.9566
"(0.0,1.0)","(0.0,2.0)",52864,472,112,25.437,0.9628,13.636,0.9335
"(2.0,6.0)","(1.0,6.0)",52435,143,370,26.179,0.9655,12.52,0.9483
"(2.0,4.0)","(1.0,4.0)",52682,142,371,26.435,0.9694,12.156,0.9536
"(2.0,4.0)","(2.0,5.0)",53247,472,113,22.838,0.9647,18.392,0.8965
"(1.0,4.0)","(0.0,4.0)",52540,142,370,29.021,0.9649,9.026,0.9693
"(1.0,4.0)","(1.0,5.0)",52846,470,113,22.623,0.9614,18.854,0.9051
"(5.0,4.0)","(4.0,4.0)",52540,142,370,24.616,0.9724,14.988,0.9269
"(5.0,4.0)","(5.0,5.0)",52752,471,112,25.107,0.9662,14.163,0.9059
"(5.0,3.0)","(4.0,3.0)",52682,142,371,24.867,0.9719,14.561,0.943
"(5.0,3.0)","(5.0,4.0)",52752,471,112,24.883,0.9697,14.534,0.9424
"(0.0,2.0)","(0.0,3.0)",52766,472,112,25.45,0.9671,13.616,0.9388
"(6.0,5.0)","(5.0,5.0)",52682,142,371,27.887,0.9729,10.285,0.9721
"(6.0,5.0)","(6.0,6.0)",52864,472,112,26.72,0.971,11.764,0.9538
"(6.0,0.0)","(5.0,0.0)",52540,142,370,26.911,0.9741,11.508,0.9626
"(6.0,0.0)","(6.0,1.0)",53336,472,113,21.908,0.9609,20.47,0.8915
"(6.0,2.0)","(5.0,2.0)",52539,142,370,26.032,0.971,12.734,0.9536
"(6.0,2.0)","(6.0,3.0)",52856,472,112,24.561,0.9539,15.083,0.9254
"(2.0,2.0)","(1.0,2.0)",52588,142,371,25.591,0.9672,13.397,0.9501
"(2.0,2.0)","(2.0,3.0)",52912,472,113,25.505,0.9695,13.531,0.9152
"(4.0,4.0)","(3.0,4.0)",52284,142,370,27.649,0.9693,10.57,0.9638
"(4.0,4.0)","(4.0,5.0)",52794,472,112,24.127,0.9666,15.856,0.9225
"(1.0,0.0)","(0.0,0.0)",52398,142,369,25.218,0.9663,13.985,0.9533
"(1.0,0.0)","(1.0,1.0)",52646,471,112,25.48,0.9671,13.569,0.9465
"(0.0,0.0)","(0.0,1.0)",52751,471,112,25.45,0.9581,13.616,0.924
"(4.0,3.0)","(3.0,3.0)",52423,142,370,26.095,0.9644,12.641,0.9493
"(4.0,3.0)","(4.0,4.0)",52638,471,112,25.518,0.965,13.51,0.9392
"(3.0,1.0)","(2.0,1.0)",52682,142,371,24.946,0.969,14.429,0.9416
"(3.0,1.0)","(3.0,2.0)",52640,470,112,23.997,0.9643,16.095,0.9233
"(1.0,3.0)","(0.0,3.0)",52615,143,371,25.405,0.9667,13.687,0.9343
"(1.0,3.0)","(1.0,4.0)",52803,471,113,25.686,0.9649,13.251,0.926
"(3.0,4.0)","(2.0,4.0)",52753,143,370,23.321,0.9713,17.397,0.9294
"(3.0,4.0)","(3.0,5.0)",52752,471,112,24.487,0.9642,15.212,0.9348
"(3.0,2.0)","(2.0,2.0)",52029,141,369,34.258,0.9757,4.939,0.9975
"(3.0,2.0)","(3.0,3.0)",52640,470,112,24.261,0.9675,15.614,0.9367
"(1.0,1.0)","(0.0,1.0)",52945,143,371,24.587,0.9542,15.039,0.9387
"(1.0,1.0)","(1.0,2.0)",52889,471,113,23.369,0.9688,17.301,0.9153
"(1.0,6.0)","(0.0,6.0)",52398,142,369,25.01,0.9546,14.324,0.9325
"(1.0,2.0)","(0.0,2.0)",52669,143,369,24.634,0.9563,14.958,0.8996
"(1.0,2.0)","(1.0,3.0)",52976,471,113,22.963,0.9593,18.13,0.8828
"(6.0,6.0)","(5.0,6.0)",52540,142,370,27.474,0.9706,10.785,0.9659
"(4.0,1.0)","(3.0,1.0)",52562,142,371,26.767,0.9726,11.7,0.9461
"(4.0,1.0)","(4.0,2.0)",52303,471,112,31.691,0.9789,6.638,0.9929
"(4.0,5.0)","(3.0,5.0)",52540,142,370,25.849,0.9726,13.004,0.9518
"(4.0,5.0)","(4.0,6.0)",52712,472,113,25.966,0.9763,12.83,0.9495
"(5.0,0.0)","(4.0,0.0)",52540,142,370,26.119,0.9704,12.607,0.9331
"(5.0,0.0)","(5.0,1.0)",53223,471,113,21.784,0.9634,20.766,0.8784
"(1.0,5.0)","(0.0,5.0)",52409,142,371,27.883,0.9713,10.289,0.9699
"(1.0,5.0)","(1.0,6.0)",52398,471,112,27.559,0.9729,10.68,0.9613
"(4.0,6.0)","(3.0,6.0)",52398,142,369,27.915,0.9725,10.251,0.9736
"(4.0,0.0)","(3.0,0.0)",52170,143,369,29.816,0.9711,8.237,0.9783
"(4.0,0.0)","(4.0,1.0)",53081,472,113,22.801,0.9675,18.47,0.9083
"(2.0,1.0)","(1.0,1.0)",52568,142,371,24.323,0.9659,15.502,0.9476
"(2.0,1.0)","(2.0,2.0)",53336,472,113,21.426,0.9632,21.639,0.8773
"(5.0,2.0)","(4.0,2.0)",52147,142,369,28.117,0.9757,10.015,0.976
"(5.0,2.0)","(5.0,3.0)",52583,471,112,25.685,0.9656,13.253,0.9419
"(3.0,6.0)","(2.0,6.0)",52411,143,369,25.463,0.96,13.595,0.9268
