tile1_coord,tile2_coord,overlap_pixels,overlap_width,overlap_height,psnr,ssim,rmse,ncc
"(0.0,0.0)","(0.0,1.0)",52864,472,112,26.96,0.9671,11.443,0.9606
"(1.0,0.0)","(0.0,0.0)",52170,141,370,30.562,0.9735,7.558,0.9927
"(1.0,0.0)","(1.0,1.0)",52640,470,112,26.266,0.9676,12.395,0.96
"(2.0,0.0)","(1.0,0.0)",52540,142,370,25.926,0.9655,12.89,0.9509
"(2.0,0.0)","(2.0,1.0)",52864,472,112,26.126,0.9687,12.596,0.9533
"(3.0,0.0)","(2.0,0.0)",52170,141,370,27.463,0.9504,10.799,0.9614
"(3.0,0.0)","(3.0,1.0)",52752,471,112,25.688,0.9736,13.248,0.9552
"(4.0,0.0)","(3.0,0.0)",52540,142,370,27.477,0.9729,10.781,0.9626
"(4.0,0.0)","(4.0,1.0)",52752,471,112,26.384,0.9727,12.227,0.9601
"(5.0,0.0)","(4.0,0.0)",52531,142,370,26.234,0.9742,12.44,0.9496
"(5.0,0.0)","(5.0,1.0)",52752,471,112,25.881,0.9732,12.956,0.9517
"(6.0,0.0)","(5.0,0.0)",52540,142,370,26.768,0.9769,11.699,0.9672
"(6.0,0.0)","(6.0,1.0)",52864,472,112,25.699,0.9715,13.231,0.9484
"(0.0,1.0)","(0.0,2.0)",52858,472,112,26.866,0.9633,11.567,0.9584
"(1.0,1.0)","(0.0,1.0)",52361,142,371,30.559,0.975,7.561,0.9888
"(1.0,1.0)","(1.0,2.0)",52640,470,112,25.345,0.9664,13.781,0.9503
"(2.0,1.0)","(1.0,1.0)",52575,142,371,26.246,0.9746,12.424,0.968
"(2.0,1.0)","(2.0,2.0)",52757,472,112,25.796,0.9713,13.084,0.9535
"(3.0,1.0)","(2.0,1.0)",52311,141,371,31.299,0.9721,6.943,0.9901
"(3.0,1.0)","(3.0,2.0)",52640,470,112,24.549,0.9669,15.104,0.9304
"(4.0,1.0)","(3.0,1.0)",52772,143,371,24.706,0.9744,14.833,0.9334
"(4.0,1.0)","(4.0,2.0)",52864,472,112,25.495,0.9752,13.545,0.9524
"(5.0,1.0)","(4.0,1.0)",52682,142,371,27.33,0.9764,10.965,0.9681
"(5.0,1.0)","(5.0,2.0)",52752,471,112,26.452,0.9753,12.132,0.9572
"(6.0,1.0)","(5.0,1.0)",52682,142,371,27.58,0.9776,10.654,0.9721
"(6.0,1.0)","(6.0,2.0)",52825,472,112,26.093,0.9755,12.643,0.9495
"(0.0,2.0)","(0.0,3.0)",52864,472,112,26.214,0.9693,12.469,0.9571
"(1.0,2.0)","(0.0,2.0)",52421,143,370,26.878,0.9666,11.552,0.9428
"(1.0,2.0)","(1.0,3.0)",52752,471,112,25.664,0.9659,13.284,0.9415
"(2.0,2.0)","(1.0,2.0)",52597,143,370,26.442,0.9665,12.146,0.9469
"(2.0,2.0)","(2.0,3.0)",52879,472,113,25.387,0.9709,13.715,0.9399
"(3.0,2.0)","(2.0,2.0)",52260,142,370,29.447,0.9755,8.594,0.9722
"(3.0,2.0)","(3.0,3.0)",52640,470,112,24.728,0.969,14.796,0.942
"(4.0,2.0)","(3.0,2.0)",52587,143,370,25.954,0.9723,12.848,0.9501
"(4.0,2.0)","(4.0,3.0)",53060,472,113,23.868,0.9612,16.335,0.8959
"(5.0,2.0)","(4.0,2.0)",52540,142,370,26.917,0.9762,11.499,0.9646
"(5.0,2.0)","(5.0,3.0)",53004,471,113,23.985,0.9504,16.118,0.8965
"(6.0,2.0)","(5.0,2.0)",52540,142,370,27.206,0.9751,11.124,0.9629
"(6.0,2.0)","(6.0,3.0)",53223,471,113,23.82,0.9048,16.427,0.899
"(0.0,3.0)","(0.0,4.0)",52864,472,112,26.501,0.9697,12.064,0.9585
"(1.0,3.0)","(0.0,3.0)",52682,142,371,26.962,0.9666,11.441,0.9498
"(1.0,3.0)","(1.0,4.0)",52794,471,113,24.853,0.9669,14.584,0.9174
"(2.0,3.0)","(1.0,3.0)",52682,142,371,27.116,0.9678,11.239,0.9584
"(2.0,3.0)","(2.0,4.0)",52940,472,113,24.482,0.971,15.221,0.923
"(3.0,3.0)","(2.0,3.0)",52540,142,370,26.889,0.9715,11.537,0.9474
"(3.0,3.0)","(3.0,4.0)",52640,470,112,26.344,0.9605,12.285,0.9354
"(4.0,3.0)","(3.0,3.0)",52512,142,370,25.727,0.9612,13.189,0.9442
"(4.0,3.0)","(4.0,4.0)",52836,472,112,26.69,0.9697,11.804,0.949
"(5.0,3.0)","(4.0,3.0)",52570,142,371,27.334,0.9749,10.961,0.9662
"(5.0,3.0)","(5.0,4.0)",52752,471,112,26.344,0.9763,12.284,0.9563
"(6.0,3.0)","(5.0,3.0)",52575,142,371,27.513,0.9768,10.737,0.9587
"(6.0,3.0)","(6.0,4.0)",52752,471,112,25.893,0.972,12.939,0.9513
"(0.0,4.0)","(0.0,5.0)",52864,472,112,26.667,0.9735,11.835,0.9588
"(1.0,4.0)","(0.0,4.0)",52540,142,370,29.116,0.9692,8.927,0.9673
"(1.0,4.0)","(1.0,5.0)",52752,471,112,26.256,0.9752,12.409,0.9593
"(2.0,4.0)","(1.0,4.0)",52515,142,371,28.229,0.9687,9.887,0.9676
"(2.0,4.0)","(2.0,5.0)",52822,472,113,25.455,0.9754,13.608,0.943
"(3.0,4.0)","(2.0,4.0)",52910,143,370,23.419,0.9674,17.202,0.933
"(3.0,4.0)","(3.0,5.0)",53101,472,113,23.29,0.966,17.459,0.9024
"(4.0,4.0)","(3.0,4.0)",52754,143,370,23.755,0.9633,16.55,0.8994
"(4.0,4.0)","(4.0,5.0)",52752,471,112,26.118,0.9613,12.607,0.9402
"(5.0,4.0)","(4.0,4.0)",52540,142,370,25.046,0.9728,14.264,0.9333
"(5.0,4.0)","(5.0,5.0)",52752,471,112,24.515,0.965,15.162,0.8955
"(6.0,4.0)","(5.0,4.0)",52540,142,370,26.875,0.9728,11.555,0.9552
